Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YNL229C	YNL229C	2	2	2	sp|YNL229C|URE2_YEAST NCSL01000026.1 116914-117978 ORF Verified Nitrogen catabolite repression transcriptional regulator; inhibits GLN3 transcription in good nitrogen source; role in sequestering Gln3p and Gat1p to the cytoplasm; has glutathione peroxidase	1	2	2	2	2	0	1	0	0	1	2	2	0	1	0	0	1	2	2	0	1	0	0	1	2	5.6	5.6	5.6	40.27	354	354	0	2.2252	By MS/MS		By matching			By matching	By MS/MS	5.6	0	2.3	0	0	2.3	5.6	3018600	2121500	0	591380	0	0	156230	149540	188660	132590	0	36961	0	0	9764.4	9346	289620	0	0	0	0	0	0	3	0	0	0	0	0	1	4				1795	838;5734	True;True	899;6067	3399;3400;21619;21620;21621;21622	2998;2999;19032;19033	2998;19033		
YNL231C	YNL231C	7	7	7	sp|YNL231C|PDR16_YEAST NCSL01000026.1 113767-114822 ORF Verified Phosphatidylinositol transfer protein (PITP); controlled by the multiple drug resistance regulator Pdr1p; localizes to lipid particles and microsomes; controls levels of various lipids, may r	1	7	7	7	7	0	0	0	0	0	1	7	0	0	0	0	0	1	7	0	0	0	0	0	1	25.9	25.9	25.9	40.745	351	351	0	9.2095	By MS/MS						By MS/MS	25.9	0	0	0	0	0	3.4	6256900	6082000	0	0	0	0	0	174900	272040	264440	0	0	0	0	0	7604.3	830290	0	0	0	0	0	0	8	0	0	0	0	0	1	9				1796	2749;3983;5011;7995;9711;14528;16152	True;True;True;True;True;True;True	2910;4209;5300;8452;10355;15464;17173	10618;15065;18874;29722;36058;36059;54403;60466	9453;13318;16583;26119;31636;31637;47948;47949;53144	9453;13318;16583;26119;31637;47948;53144	1434	188
YNL236W	YNL236W	2	2	2	sp|YNL236W|SIN4_YEAST NCSL01000026.1 104710-107634 ORF Verified Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; contributes to both postive and negative transcriptional r	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3.6	3.6	3.6	111.21	974	974	0.0064166	1.2319	By MS/MS							3.6	0	0	0	0	0	0	441330	441330	0	0	0	0	0	0	8326.9	8326.9	0	0	0	0	0	0	60248	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1797	6651;9069	True;True	7033;9587	24886;33592	21886;29434	21886;29434		
YNL239W	YNL239W	22	22	22	sp|YNL239W|LAP3_YEAST NCSL01000026.1 98349-99713 ORF Verified Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose	1	22	22	22	19	11	10	5	11	10	12	19	11	10	5	11	10	12	19	11	10	5	11	10	12	55.9	55.9	55.9	52.088	454	454	0	174.92	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	53.1	34.8	29.3	14.8	33.3	31.3	27.5	132170000	72459000	15771000	13881000	964290	12215000	9889900	6986400	5507000	3019100	657140	578400	40179	508970	412080	291100	7896300	4764200	3463500	5227600	3908900	5177500	6464500	27	11	8	2	9	10	10	77				1798	827;1196;1397;1609;1889;2459;2501;7289;7555;7858;8492;8687;9102;10527;11460;12684;12812;13378;14309;14384;15497;16026	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	887;1274;1482;1702;1999;2610;2653;7705;7990;8310;8985;9191;9620;9621;11225;12203;13505;13639;14234;14235;15230;15314;16480;17038	3347;3348;3349;3350;3351;3352;3353;4898;4899;4900;4901;4902;4903;4904;4905;4906;4907;5585;5586;6286;6287;7298;7299;7300;7301;7302;7303;7304;9440;9441;9564;9565;9566;9567;9568;26993;27920;27921;27922;27923;27924;27925;27926;27927;27928;29177;29178;29179;29180;29181;31495;31496;31497;31498;31499;32244;33684;33685;33686;39336;39337;39338;39339;39340;39341;39342;42347;42348;42349;42350;42351;47040;47041;47507;49583;49584;49585;53560;53561;53852;53853;53854;53855;53856;53857;53858;53859;53860;53861;58108;58109;60045;60046;60047	2939;2940;2941;2942;2943;2944;2945;2946;4326;4327;4328;4329;4330;4331;4332;4333;4978;5607;6498;6499;6500;6501;6502;6503;8412;8521;8522;8523;8524;23663;24472;24473;24474;24475;24476;25605;25606;25607;25608;25609;27646;27647;27648;27649;27650;28295;29507;29508;29509;29510;34609;34610;34611;34612;34613;37243;37244;37245;41443;41849;43659;43660;43661;43662;43663;43664;43665;47182;47440;47441;47442;47443;47444;47445;47446;47447;51099;52783	2939;4333;4978;5607;6499;8412;8521;23663;24474;25606;27646;28295;29507;34610;37243;41443;41849;43660;47182;47442;51099;52783	1435;1436;1437	147;338;406
YNL241C	YNL241C	19	19	19	sp|YNL241C|ZWF1_YEAST NCSL01000026.1 94220-95734 ORF Verified Glucose-6-phosphate dehydrogenase (G6PD); catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidative stress; protein abundance increases in response to DNA repl	1	19	19	19	17	9	10	2	7	13	6	17	9	10	2	7	13	6	17	9	10	2	7	13	6	52.4	52.4	52.4	57.392	504	504	0	145.68	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	47	27.4	29.8	6.3	21	37.9	18.1	86770000	47655000	9247500	11384000	246490	7107000	9313900	1815800	2799000	1537300	298310	367230	7951.4	229260	300450	58575	4313800	3912000	2922900	2359000	2812600	3078000	2162300	23	7	8	0	6	8	3	55				1799	1164;1165;1719;1911;3675;4527;5342;5419;7176;7763;9511;10033;10401;11664;11688;13716;14626;15386;16002	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1239;1240;1816;2025;3892;4783;5658;5737;7587;8211;10147;10148;10696;11087;12426;12450;14594;15569;16362;17014	4707;4708;4709;4710;4711;4712;4713;4714;6748;6749;7387;13969;13970;13971;17088;17089;20281;20282;20283;20284;20568;20569;20570;26636;28836;28837;28838;35365;35366;35367;37178;37179;37180;37181;37182;38627;38628;38629;38630;38631;38632;38633;43255;43256;43257;43258;43323;50893;50894;50895;50896;50897;50898;50899;50900;50901;50902;50903;54763;54764;54765;54766;54767;54768;57655;57656;57657;57658;57659;57660;59959;59960;59961;59962	4149;4150;4151;4152;4153;4154;4155;4156;6017;6575;12358;12359;15000;15001;17834;17835;18077;23381;25308;30983;30984;30985;30986;30987;32594;33944;33945;33946;33947;38063;38064;38065;38127;44783;44784;44785;44786;44787;44788;44789;44790;44791;44792;44793;44794;44795;44796;48258;48259;48260;48261;48262;48263;50724;52710;52711	4149;4155;6017;6575;12358;15000;17835;18077;23381;25308;30984;32594;33946;38065;38127;44784;48258;50724;52711	1438	86
YNL243W	YNL243W	17	17	17	sp|YNL243W|SLA2_YEAST NCSL01000026.1 85848-88754 ORF Verified Adaptor protein that links actin to clathrin and endocytosis; involved in membrane cytoskeleton assembly and cell polarization; present in the actin cortical patch of the emerging bud tip; dimer	1	17	17	17	17	4	3	0	2	2	8	17	4	3	0	2	2	8	17	4	3	0	2	2	8	25.8	25.8	25.8	108.96	968	968	0	128.79	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	25.8	6.6	4.5	0	3	3.1	11.5	21238000	14077000	4154800	1171600	0	658510	581840	594180	493910	327380	96623	27246	0	15314	13531	13818	1932700	0	0	0	0	297540	556060	22	4	1	0	2	1	6	36				1800	1160;1294;3251;5675;6496;7707;8057;8571;8599;10966;13057;13580;14908;15024;15027;15515;15916	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1234;1375;3448;6006;6871;8150;8517;9071;9102;11687;13898;14447;15859;15980;15983;16499;16921	4674;4675;4676;4677;4678;4679;5260;12475;12476;12477;12478;12479;21408;21409;24291;24292;28626;29936;29937;31903;31996;31997;40908;40909;40910;40911;40912;48368;50445;55794;56277;56281;56282;56283;58188;58189;59654;59655	4116;4117;4118;4119;4120;4666;4667;11068;11069;11070;11071;11072;18837;21366;21367;21368;25104;26294;26295;28002;28081;28082;36011;36012;36013;36014;42596;44388;49124;49549;49553;49554;49555;49556;51178;52456;52457	4120;4667;11068;18837;21367;25104;26295;28002;28082;36012;42596;44388;49124;49549;49555;51178;52456	1439	449
YNL244C	YNL244C	2	2	2	sp|YNL244C|SUI1_YEAST NCSL01000026.1 84967-85293 ORF Verified Translation initiation factor eIF1; component of a complex involved in recognition of the initiator codon; modulates translation accuracy at the initiation phase GN=SUI1 PE=1 SV=1	1	2	2	2	2	0	0	0	1	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	35.2	35.2	35.2	12.312	108	108	0	6.8157	By MS/MS				By matching			35.2	0	0	0	14.8	0	0	2514900	1953800	0	0	0	561110	0	0	419150	325630	0	0	0	93518	0	0	266720	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1801	11769;13616	True;True	12535;14484	43569;50555;50556	38337;44486	38337;44486		
YNL247W	YNL247W	7	7	7	sp|YNL247W|dubious830_YEAST NCSL01000026.1 80673-82976 ORF Verified Cysteinyl-tRNA synthetase; may interact with ribosomes, based on co-purification experiments; human gene CARS allows growth of the yeast haploid null mutant after sporulation of a heterozy	1	7	7	7	7	0	1	0	0	1	2	7	0	1	0	0	1	2	7	0	1	0	0	1	2	12.3	12.3	12.3	87.529	767	767	0	11.62	By MS/MS		By MS/MS			By matching	By MS/MS	12.3	0	1.6	0	0	1.3	3	8836000	8070800	0	332750	0	0	157050	275380	196360	179350	0	7394.4	0	0	3490	6119.5	943860	0	0	0	0	0	433300	10	0	1	0	0	0	2	13				1802	2852;3868;4883;9755;9778;12401;15065	True;True;True;True;True;True;True	3021;4091;5160;10404;10427;13206;16022	11023;14701;14702;18343;36203;36256;36257;36258;45982;45983;56400;56401	9834;9835;12988;12989;16104;31768;31769;31811;31812;40497;40498;49651;49652	9834;12988;16104;31768;31812;40497;49652		
YNL248C	YNL248C	4	4	4	sp|YNL248C|RPA49_YEAST NCSL01000026.1 79159-80406 ORF Verified RNA polymerase I subunit A49; essential for nucleolar assembly and for high polymerase loading rate; required for nucleolar localization of Rpa34p GN=RPA49 PE=1 SV=1	1	4	4	4	3	0	0	0	0	0	1	3	0	0	0	0	0	1	3	0	0	0	0	0	1	18.1	18.1	18.1	46.65	415	415	0	6.6507	By MS/MS						By MS/MS	15.4	0	0	0	0	0	2.7	2149500	2149500	0	0	0	0	0	0	113130	113130	0	0	0	0	0	0	293440	0	0	0	0	0	0	3	0	0	0	0	0	1	4				1803	873;931;4297;8475	True;True;True;True	938;999;4540;8968	3533;3769;16164;31425	3110;3323;14214;27584	3110;3323;14214;27584		
YNL251C	YNL251C	2	2	2	sp|YNL251C|NRD1_YEAST NCSL01000026.1 70386-72113 ORF Verified RNA-binding subunit of Nrd1 complex; complex interacts with exosome to mediate 3-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; interacts with CTD of RNA pol II large subunit Rpo21p at	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4.5	4.5	4.5	63.858	575	575	0.0030944	1.4607	By MS/MS							4.5	0	0	0	0	0	0	293820	293820	0	0	0	0	0	0	11301	11301	0	0	0	0	0	0	40110	0	0	0	0	0	0	3	0	0	0	0	0	0	3				1804	7883;11060	True;True	8336;11788	29265;41227	25683;25684;36280	25683;36280		
YNL252C	YNL252C	2	2	2	sp|YNL252C|MRPL17_YEAST NCSL01000026.1 69241-70086 ORF Verified Mitochondrial ribosomal protein of the large subunit GN=MRPL17 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	9.3	9.3	9.3	32.212	281	281	0	74.043	By MS/MS						By MS/MS	9.3	0	0	0	0	0	5	1274400	1123800	0	0	0	0	0	150530	67072	59149	0	0	0	0	0	7922.9	153420	0	0	0	0	0	0	2	0	0	0	0	0	1	3				1805	8714;9629	True;True	9219;10270	32333;32334;35798	28365;28366;31388	28366;31388		
YNL265C	YNL265C	2	2	2	sp|YNL265C|IST1_YEAST NCSL01000026.1 42089-43090 ORF Verified Protein with positive role in the multivesicular body sorting pathway; functions and forms a complex with Did2p; recruitment to endosomes is mediated by the Vps2p-Vps24p subcomplex of ESCRT-III;	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	8.4	8.4	8.4	34.454	298	298	0	4.6932	By MS/MS						By MS/MS	8.4	0	0	0	0	0	5	1252800	1168900	0	0	0	0	0	83848	89483	83494	0	0	0	0	0	5989.1	159570	0	0	0	0	0	0	2	0	0	0	0	0	1	3				1806	11205;15039	True;True	11937;15995	41695;56333;56334;56335	36661;49592;49593	36661;49593		
YNL274C	YNL274C	6	6	6	sp|YNL274C|GOR1_YEAST NCSL01000026.1 18965-20017 ORF Verified Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; pr	1	6	6	6	6	0	1	1	1	1	3	6	0	1	1	1	1	3	6	0	1	1	1	1	3	24.3	24.3	24.3	38.829	350	350	0	12.344	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.3	0	3.7	3.7	3.7	3.7	11.1	17750000	13378000	0	2088500	0	700880	825560	756820	1044100	786960	0	122860	0	41228	48562	44519	1348900	0	0	0	0	0	983430	7	0	1	1	2	1	3	15				1807	1419;4302;5515;9350;11484;14823	True;True;True;True;True;True	1504;4545;4546;5839;9930;12230;15770	5655;16183;16184;16185;20902;20903;20904;20905;20906;20907;34653;42425;42426;55476	5039;14231;14232;14233;18368;18369;18370;18371;18372;18373;18374;30381;37314;37315;48841	5039;14232;18368;30381;37315;48841	1440	263
YNL280C	YNL280C	2	2	2	sp|YNL280C|ERG24_YEAST NCSL01000026.1 6358-7674 ORF Verified C-14 sterol reductase; acts in ergosterol biosynthesis; mutants accumulate the abnormal sterol ignosterol (ergosta-8,14 dienol), and are viable under anaerobic growth conditions but inviable on r	1	2	2	2	2	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	5.3	5.3	5.3	50.615	438	438	0	2.5182	By MS/MS					By matching		5.3	0	0	0	0	3	0	1188300	1062100	0	0	0	0	126190	0	108030	96553	0	0	0	0	11472	0	144990	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1808	15714;15911	True;True	16711;16916	58978;59639;59640	51862;52447	51862;52447		
YNL281W	YNL281W	5	5	5	sp|YNL281W|HCH1_YEAST NCSL01000026.1 5730-6191 ORF Verified Heat shock protein regulator; binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; role in regulating Hsp	1	5	5	5	4	0	0	0	2	1	3	4	0	0	0	2	1	3	4	0	0	0	2	1	3	46.4	46.4	46.4	17.274	153	153	0	13.539	By MS/MS				By MS/MS	By matching	By MS/MS	38.6	0	0	0	21.6	7.8	24.2	5794900	4200500	0	0	0	711910	244960	637590	579490	420050	0	0	0	71191	24496	63759	707170	0	0	0	0	0	503850	4	0	0	0	1	0	2	7				1809	5762;8955;15190;15267;15309	True;True;True;True;True	6095;9471;16153;16238;16282	21701;21702;33218;33219;33220;56841;56842;57181;57182;57356	19119;19120;29118;50033;50034;50325;50466	19120;29118;50033;50325;50466		
YNL287W	YNL287W	25	25	25	sp|YNL287W|SEC21_YEAST NCSL01000043.1 75060-77867 ORF Verified Gamma subunit of coatomer; coatomer is a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo GN=SEC21 PE=1 SV=1	1	25	25	25	20	8	7	2	16	7	7	20	8	7	2	16	7	7	20	8	7	2	16	7	7	42.4	42.4	42.4	104.83	935	935	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.2	14.1	12.5	2.9	29.1	11.9	9.3	82413000	30445000	5972100	10542000	83129	25615000	7984300	1770800	1681900	621330	121880	215150	1696.5	522760	162950	36140	4511400	2261700	2517400	0	5501700	3548600	1759600	21	8	5	1	26	5	5	71				1810	122;536;1087;2179;2689;3592;4100;5284;6016;7736;8058;8126;8274;8850;8999;9941;9956;10309;10684;11743;12009;12288;13600;15544;15699	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	125;568;1159;2312;2846;3808;4328;5597;6357;8180;8518;8592;8747;9360;9515;10600;10617;10992;11389;12507;12780;13077;14468;16529;16696	505;506;507;508;509;2265;2266;2267;2268;4398;4399;4400;8301;8302;8303;10378;10379;13700;15485;15486;15487;15488;15489;15490;20029;22606;28763;29938;29939;30196;30658;30659;30660;32823;32824;32825;32826;33351;33352;33353;33354;33355;36841;36902;36903;36904;36905;38375;38376;38377;38378;38379;38380;39899;39900;39901;39902;39903;39904;39905;39906;39907;39908;43481;43482;43483;43484;44469;44470;44471;44472;45585;50512;50513;50514;50515;58268;58269;58270;58271;58903	421;422;423;424;425;426;427;428;1978;1979;3872;3873;3874;3875;7394;7395;9251;9252;9253;9254;9255;12121;13673;13674;13675;13676;13677;13678;17614;19878;25232;26296;26511;26512;26901;26902;26903;28801;28802;28803;28804;28805;29232;29233;29234;29235;29236;32323;32365;32366;33708;33709;33710;33711;33712;33713;35106;35107;38260;38261;38262;39131;39132;39133;39134;40137;44444;44445;51241;51242;51243;51799	421;1979;3872;7394;9254;12121;13674;17614;19878;25232;26296;26511;26903;28805;29234;32323;32365;33708;35106;38260;39133;40137;44445;51241;51799		
YNL288W	YNL288W	2	2	2	sp|YNL288W|CAF40_YEAST NCSL01000043.1 73369-74490 ORF Verified Component of the CCR4-NOT transcriptional complex; evolutionarily conserved; involved in controlling mRNA initiation, elongation, and degradation; binds Cdc39p GN=CAF40 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	6.4	6.4	6.4	41.165	373	373	0	2.9154	By MS/MS							6.4	0	0	0	0	0	0	709120	709120	0	0	0	0	0	0	44320	44320	0	0	0	0	0	0	96806	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1811	8952;9680	True;True	9468;10322	33203;35968	29103;31543	29103;31543		
YNL290W	YNL290W	6	6	6	sp|YNL290W|RFC3_YEAST NCSL01000043.1 69304-70326 ORF Verified Subunit of heteropentameric Replication factor C (RF-C); which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity facto	1	6	6	6	4	2	2	0	3	0	3	4	2	2	0	3	0	3	4	2	2	0	3	0	3	26.2	26.2	26.2	38.104	340	340	0	22.806	By MS/MS	By MS/MS	By MS/MS		By MS/MS		By MS/MS	16.5	7.6	9.7	0	13.5	0	10.9	10329000	2083800	797930	2112700	0	4712700	0	621850	491860	99230	37997	100600	0	224410	0	29612	0	460720	498130	0	1036300	0	0	3	2	1	0	6	0	3	15				1812	4491;4645;6125;7998;8939;16023	True;True;True;True;True;True	4742;4905;6472;8455;9454;17035	16922;16923;16924;17514;17515;17516;23081;23082;23083;23084;29732;33168;33169;60033;60034;60035	14861;14862;15363;15364;15365;20307;20308;20309;20310;20311;20312;26128;29064;52774;52775	14862;15365;20308;26128;29064;52774		
YNL297C	YNL297C	5	5	5	sp|YNL297C|MON2_YEAST NCSL01000043.1 54759-59669 ORF Verified Protein with a role in endocytosis and vacuole integrity; peripheral membrane protein; interacts with and negatively regulates Arl1p; localizes to the endosome; member of the Sec7p family of pro	1	5	5	5	5	0	0	0	1	0	0	5	0	0	0	1	0	0	5	0	0	0	1	0	0	4	4	4	186.76	1636	1636	0	17.546	By MS/MS				By MS/MS			4	0	0	0	0.7	0	0	734110	734110	0	0	0	0	0	0	8636.6	8636.6	0	0	0	0	0	0	100220	0	0	0	0	0	0	5	0	0	0	1	0	0	6				1813	3914;5103;9940;10865;14750	True;True;True;True;True	4139;5402;10599;11581;15696	14851;19266;19267;36840;40496;55256	13120;16939;16940;32322;35631;48656	13120;16940;32322;35631;48656		
YNL301C	YNL301C	9	9	9	sp|YNL301C|RPL18B_YEAST NCSL01000043.1 46660-47652 ORF Verified Ribosomal 60S subunit protein L18B; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18B has a paralog, RPL18A, that arose from the whole genome duplication GN=RPL18B PE	1	9	9	9	6	5	5	2	4	6	5	6	5	5	2	4	6	5	6	5	5	2	4	6	5	45.7	45.7	45.7	20.563	186	186	0	50.48	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.3	28.5	26.3	11.3	21	32.3	28	118350000	66026000	16601000	16107000	615740	8638100	5959600	4398300	10759000	6002300	1509200	1464200	55976	785280	541780	399850	6993700	4637800	3925200	3438700	4308900	4131900	3243900	7	4	3	2	4	4	3	27				1814	343;665;4890;5280;9202;13106;13157;13942;14035	True;True;True;True;True;True;True;True;True	362;705;5167;5592;5593;9722;13948;14000;14833;14932	1429;1430;1431;1432;1433;1434;2722;2723;18361;18362;18363;18364;18365;18366;20013;20014;34024;34025;34026;48553;48554;48555;48784;48785;51692;51693;51694;51695;52201;52202;52203;52204;52205;52206	1242;1243;1244;1245;1246;2373;2374;16122;17600;17601;29798;29799;29800;42746;42962;42963;45470;45471;45968;45969;45970;45971;45972;45973;45974;45975;45976	1246;2374;16122;17601;29798;42746;42963;45471;45968		
YOL121C;YNL302C	YOL121C;YNL302C	11;11	11;11	11;11	sp|YOL121C|RPS19A_YEAST NCSL01000056.1 31800-32624 ORF Verified Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutatio	2	11	11	11	10	4	5	3	5	5	5	10	4	5	3	5	5	5	10	4	5	3	5	5	5	65.3	65.3	65.3	15.917	144	144;144	0	64.137	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	58.3	31.2	37.5	18.8	39.6	39.6	30.6	105380000	75098000	5700800	8361700	906500	6769100	5558200	2983500	11709000	8344200	633420	929070	100720	752120	617580	331500	7686600	2726000	1940400	4205300	1870400	2047500	4582700	12	5	6	1	7	7	5	43				1815	2117;5336;5337;5501;5894;6516;7683;10813;13853;13854;14793	True;True;True;True;True;True;True;True;True;True;True	2246;5652;5653;5823;6230;6892;8126;11528;14740;14741;15739	8088;8089;8090;8091;8092;8093;8094;8095;8096;8097;20253;20254;20255;20256;20257;20846;20847;20848;20849;22178;22179;22180;22181;22182;22183;24353;24354;28560;28561;28562;28563;28564;28565;28566;40330;51381;51382;55372;55373;55374;55375;55376	7207;7208;7209;7210;7211;7212;7213;7214;7215;7216;7217;7218;7219;17809;17810;17811;17812;18307;18308;18309;18310;18311;19510;19511;19512;19513;19514;19515;21424;21425;25056;25057;25058;25059;25060;25061;25062;35491;45215;45216;48754;48755;48756;48757	7207;17810;17812;18309;19510;21425;25057;35491;45215;45216;48755	1441	45
YNL307C	YNL307C	14	14	14	sp|YNL307C|MCK1_YEAST NCSL01000043.1 39522-40649 ORF Verified Dual-specificity ser/thr and tyrosine protein kinase; roles in chromosome segregation, meiotic entry, genome stability, phosphorylation-dependent protein degradation (Rcn1p and Cdc6p), inhibitio	1	14	14	14	14	3	3	0	2	3	6	14	3	3	0	2	3	6	14	3	3	0	2	3	6	48.3	48.3	48.3	43.135	375	375	0	81.044	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	48.3	9.1	10.7	0	6.9	10.7	17.9	28390000	19558000	1703500	2086300	0	1903600	1338200	1800600	1234300	850330	74066	90707	0	82766	58183	78285	2414200	733010	720470	0	670740	747830	1430400	15	2	2	0	1	1	6	27				1816	476;1695;3729;4252;4923;6085;6253;8679;9207;9642;12750;14929;15678;16156	True;True;True;True;True;True;True;True;True;True;True;True;True;True	506;1792;3948;4490;5207;6432;6612;9183;9727;10283;13574;15881;16675;17177	1978;1979;1980;1981;1982;6694;6695;14174;16012;18501;18502;18503;18504;18505;18506;22952;23516;23517;32217;32218;32219;34032;34033;34034;35840;35841;47248;47249;55880;58846;60478	1723;1724;1725;5972;12527;12528;14093;16246;16247;16248;16249;16250;16251;20189;20696;20697;20698;28277;29805;29806;31419;31420;41625;41626;49208;51754;53157	1723;5972;12527;14093;16247;20189;20698;28277;29806;31420;41625;49208;51754;53157	1442	305
YNL308C	YNL308C	2	2	2	sp|YNL308C|KRI1_YEAST NCSL01000043.1 37198-38973 ORF Verified Essential nucleolar protein required for 40S ribosome biogenesis; associate with snR30; physically and functionally interacts with Krr1p GN=KRI1 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4.7	4.7	4.7	68.606	591	591	0	3.4241	By MS/MS							4.7	0	0	0	0	0	0	955550	955550	0	0	0	0	0	0	38222	38222	0	0	0	0	0	0	130450	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1817	2637;8885	True;True	2794;9396	10189;32946	9095;28906	9095;28906		
